File,Classification,Type,Path,Purpose,Reuse_Notes
server/models/Favorite.js,🔴 PROJECT-SPECIFIC,JavaScript,server/models/,Favorite schema,REPLACE with Bookmark/Resource models
server/models/index.js,🟡 PARTIALLY REUSABLE,JavaScript,server/models/,Model exports,Adapt with SMS models
server/middleware/auth.middleware.js,🟢 REUSABLE,JavaScript,server/middleware/,JWT verification,Use as-is
server/middleware/role.middleware.js,🟡 PARTIALLY REUSABLE,JavaScript,server/middleware/,Role check,Adapt for student/teacher/admin/moderator roles
server/middleware/error.middleware.js,🟢 REUSABLE,JavaScript,server/middleware/,Error handler,Use as-is
server/middleware/validation.middleware.js,🟡 PARTIALLY REUSABLE,JavaScript,server/middleware/,Input validation,Use as-is
server/middleware/upload.middleware.js,🟡 PARTIALLY REUSABLE,JavaScript,server/middleware/,Multer config,Use as-is
server/middleware/security/password.validator.js,🟢 REUSABLE,JavaScript,server/middleware/,Password strength,Use as-is
server/services/auth.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,JWT/passwords,Adapt for SMS authentication flows
server/services/email.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,Email sending,Keep pattern; use SMS-CAM provider
server/services/sms.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,SMS sending,Adapt for SMS-CAM SMS provider
server/services/chat.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,Chat logic,Adapt for SMS messaging patterns
server/services/notification.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,Notifications,Adapt for SMS notifications
server/services/upload.service.js,🟡 PARTIALLY REUSABLE,JavaScript,server/services/,File upload,Keep Cloudinary pattern or replace
server/services/product.service.js,🔴 PROJECT-SPECIFIC,JavaScript,server/services/,Product logic,REPLACE with educational domain services
server/controllers/auth.controller.js,🟡 PARTIALLY REUSABLE,JavaScript,server/controllers/,Auth handlers,Adapt for SMS authentication
server/controllers/user.controller.js,🟡 PARTIALLY REUSABLE,JavaScript,server/controllers/,User handlers,Adapt for SMS user management
server/controllers/admin.controller.js,🟡 PARTIALLY REUSABLE,JavaScript,server/controllers/,Admin handlers,Adapt for SMS admin operations
server/controllers/product.controller.js,🔴 PROJECT-SPECIFIC,JavaScript,server/controllers/,Product handlers,REPLACE with educational controllers
server/routes/auth.routes.js,🟡 PARTIALLY REUSABLE,JavaScript,server/routes/,Auth endpoints,Adapt for SMS auth routes
server/routes/user.routes.js,🟡 PARTIALLY REUSABLE,JavaScript,server/routes/,User endpoints,Adapt for SMS user routes
server/routes/admin.routes.js,🟡 PARTIALLY REUSABLE,JavaScript,server/routes/,Admin endpoints,Adapt for SMS admin routes
server/routes/product.routes.js,🔴 PROJECT-SPECIFIC,JavaScript,server/routes/,Product endpoints,REPLACE with educational routes
server/routes/index.js,🟡 PARTIALLY REUSABLE,JavaScript,server/routes/,Route aggregator,Keep pattern; add SMS routes
server/__tests__/auth.service.test.js,🟡 PARTIALLY REUSABLE,JavaScript,server/__tests__/,Auth tests,Adapt for SMS auth tests
server/__tests__/phone.util.test.js,🟢 REUSABLE,JavaScript,server/__tests__/,Phone tests,Use as-is (Cambodia format)
server/utils/phone.js,🟢 REUSABLE,JavaScript,server/utils/,Phone validation,Use as-is (Cambodia phone numbers)
server/scripts/make-admin.js,🟡 PARTIALLY REUSABLE,JavaScript,server/scripts/,Admin creation,Adapt for SMS admin creation
server/scripts/normalize-phone-numbers.js,🟢 REUSABLE,JavaScript,server/scripts/,Phone cleanup,Use as-is
docs/PRD.md,🔴 PROJECT-SPECIFIC,Markdown,docs/,Product requirements,REPLACE with SMS-CAM PRD
docs/README.md,🟡 PARTIALLY REUSABLE,Markdown,docs/,Documentation,Adapt structure for SMS-CAM
